20.1.1.5. A népesség gazdasági aktivitása korcsoportok szerint, nemenként;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Korcsoport, éves;Foglalkoztatottak, ezer fõ, 2009;Munkanélküliek, ezer fõ, 2009;Gazdaságilag aktívak, ezer fõ, 2009;Gazdaságilag nem aktívak, ezer fõ, 2009;15–74 éves népesség, ezer fõ, 2009;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2009;Aktivitási arány, %, 2009;Munkanélküliségi ráta, %, 2009;Foglalkoztatási ráta, %, 2009;Foglalkoztatottak, ezer fõ, 2010;Munkanélküliek, ezer fõ, 2010;Gazdaságilag aktívak, ezer fõ, 2010;Gazdaságilag nem aktívak, ezer fõ, 2010;15–74 éves népesség, ezer fõ, 2010;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2010;Aktivitási arány, %, 2010;Munkanélküliségi ráta, %, 2010;Foglalkoztatási ráta, %, 2010;Foglalkoztatottak, ezer fõ, 2011;Munkanélküliek, ezer fõ, 2011;Gazdaságilag aktívak, ezer fõ, 2011;Gazdaságilag nem aktívak, ezer fõ, 2011;15–74 éves népesség, ezer fõ, 2011;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2011;Aktivitási arány, %, 2011;Munkanélküliségi ráta, %, 2011;Foglalkoztatási ráta, %, 2011;Foglalkoztatottak, ezer fõ, 2012;Munkanélküliek, ezer fõ, 2012;Gazdaságilag aktívak, ezer fõ, 2012;Gazdaságilag nem aktívak, ezer fõ, 2012;15–74 éves népesség, ezer fõ, 2012;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2012;Aktivitási arány, %, 2012;Munkanélküliségi ráta, %, 2012;Foglalkoztatási ráta, %, 2012;Foglalkoztatottak, ezer fõ, 2013;Munkanélküliek, ezer fõ, 2013;Gazdaságilag aktívak, ezer fõ, 2013;Gazdaságilag nem aktívak, ezer fõ, 2013;15–74 éves népesség, ezer fõ, 2013;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2013;Aktivitási arány, %, 2013;Munkanélküliségi ráta, %, 2013;Foglalkoztatási ráta, %, 2013;Foglalkoztatottak, ezer fõ, 2014;Munkanélküliek, ezer fõ, 2014;Gazdaságilag aktívak, ezer fõ, 2014;Gazdaságilag nem aktívak, ezer fõ, 2014;15–74 éves népesség, ezer fõ, 2014;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2014;Aktivitási arány, %, 2014;Munkanélküliségi ráta, %, 2014;Foglalkoztatási ráta, %, 2014;Foglalkoztatottak, ezer fõ, 2015;Munkanélküliek, ezer fõ, 2015;Gazdaságilag aktívak, ezer fõ, 2015;Gazdaságilag nem aktívak, ezer fõ, 2015;15–74 éves népesség, ezer fõ, 2015;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2015;Aktivitási arány, %, 2015;Munkanélküliségi ráta, %, 2015;Foglalkoztatási ráta, %, 2015;Foglalkoztatottak, ezer fõ, 2016;Munkanélküliek, ezer fõ, 2016;Gazdaságilag aktívak, ezer fõ, 2016;Gazdaságilag nem aktívak, ezer fõ, 2016;15–74 éves népesség, ezer fõ, 2016;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2016;Aktivitási arány, %, 2016;Munkanélküliségi ráta, %, 2016;Foglalkoztatási ráta, %, 2016;Foglalkoztatottak, ezer fõ, 2017;Munkanélküliek, ezer fõ, 2017;Gazdaságilag aktívak, ezer fõ, 2017;Gazdaságilag nem aktívak, ezer fõ, 2017;15–74 éves népesség, ezer fõ, 2017;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2017;Aktivitási arány, %, 2017;Munkanélküliségi ráta, %, 2017;Foglalkoztatási ráta, %, 2017;Foglalkoztatottak, ezer fõ, 2018;Munkanélküliek, ezer fõ, 2018;Gazdaságilag aktívak, ezer fõ, 2018;Gazdaságilag nem aktívak, ezer fõ, 2018;15–74 éves népesség, ezer fõ, 2018;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2018;Aktivitási arány, %, 2018;Munkanélküliségi ráta, %, 2018;Foglalkoztatási ráta, %, 2018;Foglalkoztatottak, ezer fõ, 2019;Munkanélküliek, ezer fõ, 2019;Gazdaságilag aktívak, ezer fõ, 2019;Gazdaságilag nem aktívak, ezer fõ, 2019;15–74 éves népesség, ezer fõ, 2019;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2019;Aktivitási arány, %, 2019;Munkanélküliségi ráta, %, 2019;Foglalkoztatási ráta, %, 2019;Foglalkoztatottak, ezer fõ, 2020;Munkanélküliek, ezer fõ, 2020;Gazdaságilag aktívak, ezer fõ, 2020;Gazdaságilag nem aktívak, ezer fõ, 2020;15–74 éves népesség, ezer fõ, 2020;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2020;Aktivitási arány, %, 2020;Munkanélküliségi ráta, %, 2020;Foglalkoztatási ráta, %, 2020;Foglalkoztatottak, ezer fõ, 2021;Munkanélküliek, ezer fõ, 2021;Gazdaságilag aktívak, ezer fõ, 2021;Gazdaságilag nem aktívak, ezer fõ, 2021;15–74 éves népesség, ezer fõ, 2021;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2021;Aktivitási arány, %, 2021;Munkanélküliségi ráta, %, 2021;Foglalkoztatási ráta, %, 2021;Foglalkoztatottak, ezer fõ, 2022;Munkanélküliek, ezer fõ, 2022;Gazdaságilag aktívak, ezer fõ, 2022;Gazdaságilag nem aktívak, ezer fõ, 2022;15–74 éves népesség, ezer fõ, 2022;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2022;Aktivitási arány, %, 2022;Munkanélküliségi ráta, %, 2022;Foglalkoztatási ráta, %, 2022;Foglalkoztatottak, ezer fõ, 2023;Munkanélküliek, ezer fõ, 2023;Gazdaságilag aktívak, ezer fõ, 2023;Gazdaságilag nem aktívak, ezer fõ, 2023;15–74 éves népesség, ezer fõ, 2023;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2023;Aktivitási arány, %, 2023;Munkanélküliségi ráta, %, 2023;Foglalkoztatási ráta, %, 2023
Együtt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15–19;11,5;11,4;22,9;563,7;586,6;19,1;3,9;49,7;2,0;11,8;9,8;21,7;557,9;579,6;16,1;3,7;45,4;2,0;11,2;8,4;19,6;552,8;572,3;15,8;3,4;43,0;1,9;10,2;10,8;20,9;536,0;557,0;18,6;3,8;51,5;1,8;12,6;13,5;26,1;510,5;536,6;22,5;4,9;51,7;2,4;17,9;11,0;28,8;486,6;515,4;20,8;5,6;38,0;3,5;22,1;10,7;32,8;465,9;498,7;17,9;6,6;32,6;4,4;24,8;8,8;33,7;453,9;487,6;16,3;6,9;26,2;5,1;26,0;8,2;34,2;446,7;480,9;15,4;7,1;23,9;5,4;26,8;7,8;34,7;430,3;465,0;14,1;7,5;22,6;5,8;28,7;8,8;37,4;427,4;464,9;16,1;8,1;23,5;6,2;23,0;7,6;30,6;437,3;467,8;14,8;6,5;24,7;4,9;23,0;9,5;32,4;437,1;469,5;16,5;6,9;29,2;4,9;25,3;7,7;33,0;440,1;473,1;13,6;7,0;23,3;5,3;26,5;10,8;37,2;434,7;471,9;17,0;7,9;28,9;5,6
20–24;214,7;67,4;282,1;340,5;622,6;95,2;45,3;23,9;34,5;212,4;68,4;280,8;334,2;614,9;95,0;45,7;24,4;34,5;207,3;66,1;273,3;334,5;607,8;96,7;45,0;24,2;34,1;209,8;73,9;283,6;327,5;611,1;106,1;46,4;26,0;34,3;223,7;70,0;293,7;317,9;611,5;106,2;48,0;23,8;36,6;251,2;56,6;307,8;299,8;607,6;83,9;50,7;18,4;41,3;264,4;48,2;312,6;287,0;599,5;71,8;52,1;15,4;44,1;282,2;35,9;318,1;265,2;583,3;57,9;54,5;11,3;48,4;283,6;28,1;311,7;251,9;563,6;48,4;55,3;9,0;50,3;269,7;24,7;294,4;235,7;530,1;39,4;55,5;8,4;50,9;250,7;27,0;277,7;232,6;510,3;44,3;54,4;9,7;49,1;239,5;30,5;270,0;217,0;487,0;51,1;55,4;11,3;49,2;229,1;30,4;259,4;212,8;472,2;48,5;54,9;11,7;48,5;231,8;22,8;254,6;221,5;476,1;35,4;53,5;8,9;48,7;239,8;28,4;268,1;226,9;495,0;38,1;54,2;10,6;48,4
25–29;501,1;63,3;564,4;119,0;683,4;91,0;82,6;11,2;73,3;461,6;70,8;532,3;116,1;648,4;100,8;82,1;13,3;71,2;443,4;59,0;502,4;112,1;614,5;91,9;81,8;11,7;72,2;436,4;65,3;501,7;102,5;604,2;98,1;83,0;13,0;72,2;440,7;55,7;496,5;104,2;600,7;84,7;82,6;11,2;73,4;465,1;45,7;510,7;90,8;601,5;74,6;84,9;8,9;77,3;472,3;40,9;513,2;89,4;602,6;62,0;85,2;8,0;78,4;487,1;31,0;518,1;87,6;605,7;48,9;85,5;6,0;80,4;498,7;24,0;522,7;84,8;607,5;41,0;86,0;4,6;82,1;497,7;21,0;518,6;87,9;606,5;33,9;85,5;4,0;82,1;500,6;22,8;523,4;82,8;606,2;34,7;86,3;4,4;82,6;488,0;29,8;517,7;83,2;600,9;48,6;86,2;5,7;81,2;478,1;25,4;503,5;84,5;587,9;44,6;85,6;5,0;81,3;468,0;21,9;490,0;74,5;564,5;32,6;86,8;4,5;82,9;452,9;23,8;476,6;73,4;550,1;34,6;86,7;5,0;82,3
30–34;617,1;55,5;672,6;98,4;771,0;87,8;87,2;8,3;80,0;604,3;63,5;667,8;97,2;765,0;94,8;87,3;9,5;79,0;610,8;55,3;666,2;92,2;758,4;87,3;87,8;8,3;80,5;588,1;59,1;647,2;83,9;731,1;92,5;88,5;9,1;80,4;560,4;53,7;614,1;77,2;691,2;85,8;88,8;8,7;81,1;546,6;39,9;586,6;66,8;653,4;64,3;89,8;6,8;83,7;527,0;33,6;560,6;64,5;625,1;55,0;89,7;6,0;84,3;527,6;24,0;551,5;58,2;609,7;38,5;90,5;4,3;86,5;522,9;20,3;543,2;55,3;598,5;34,8;90,8;3,7;87,4;523,6;19,2;542,7;54,6;597,3;30,5;90,9;3,5;87,7;532,7;13,6;546,3;57,1;603,4;24,0;90,5;2,5;88,3;520,0;18,5;538,5;70,3;608,8;37,2;88,5;3,4;85,4;523,7;22,3;546,0;65,3;611,3;37,7;89,3;4,1;85,7;538,4;17,7;556,2;55,5;611,7;26,8;90,9;3,2;88,0;531,6;22,7;554,3;54,7;609,0;32,5;91,0;4,1;87,3
35–39;610,6;53,6;664,1;94,9;759,0;86,6;87,5;8,1;80,4;620,1;63,4;683,5;96,7;780,2;101,7;87,6;9,3;79,5;635,2;65,9;701,1;100,5;801,6;105,8;87,5;9,4;79,2;661,1;67,7;728,7;96,3;825,0;111,9;88,3;9,3;80,1;694,7;57,4;752,1;90,4;842,5;98,2;89,3;7,6;82,5;711,2;46,1;757,3;81,0;838,3;82,1;90,3;6,1;84,8;692,4;40,1;732,5;75,6;808,1;67,5;90,6;5,5;85,7;669,5;30,3;699,7;69,3;769,1;51,1;91,0;4,3;87,0;638,6;24,7;663,3;65,0;728,2;42,4;91,1;3,7;87,7;609,9;22,2;632,1;59,6;691,7;40,5;91,4;3,5;88,2;584,3;16,6;600,9;58,1;659,1;31,0;91,2;2,8;88,7;548,8;22,2;571,0;62,5;633,4;41,2;90,1;3,9;86,6;540,5;21,2;561,7;57,3;619,0;38,8;90,7;3,8;87,3;540,2;20,4;560,6;51,3;611,9;31,6;91,6;3,6;88,3;542,0;21,3;563,2;47,9;611,1;30,4;92,2;3,8;88,7
40–44;539,4;51,2;590,6;96,7;687,3;83,5;85,9;8,7;78,5;544,5;57,0;601,5;94,3;695,8;89,8;86,5;9,5;78,3;551,0;59,5;610,5;93,9;704,4;95,0;86,7;9,7;78,2;574,1;52,8;626,9;85,2;712,1;91,0;88,0;8,4;80,6;579,9;55,8;635,6;79,9;715,5;94,1;88,8;8,8;81,0;615,4;41,4;656,8;71,7;728,5;72,7;90,2;6,3;84,5;659,0;35,3;694,4;66,5;760,9;61,5;91,3;5,1;86,6;701,4;27,4;728,7;67,3;796,1;51,1;91,5;3,8;88,1;732,2;23,6;755,8;65,1;820,9;42,9;92,1;3,1;89,2;751,6;23,8;775,3;65,6;841,0;41,6;92,2;3,1;89,4;751,0;22,2;773,2;66,0;839,2;39,2;92,1;2,9;89,5;715,7;25,4;741,2;70,4;811,6;49,0;91,3;3,4;88,2;691,4;21,1;712,5;60,6;773,1;38,2;92,2;3,0;89,4;662,2;18,1;680,2;53,3;733,5;30,1;92,7;2,7;90,3;625,6;21,4;647,0;48,6;695,6;31,3;93,0;3,3;89,9
45–49;493,0;47,6;540,6;121,2;661,8;82,1;81,7;8,8;74,5;477,8;51,3;529,0;103,3;632,4;83,5;83,7;9,7;75,6;459,6;52,6;512,2;91,5;603,7;87,8;84,8;10,3;76,1;473,5;47,1;520,6;85,7;606,3;83,0;85,9;9,1;78,1;499,4;47,0;546,3;83,6;629,9;86,2;86,7;8,6;79,3;542,8;33,3;576,1;78,0;654,1;67,0;88,1;5,8;83,0;570,8;31,2;602,0;75,1;677,1;57,4;88,9;5,2;84,3;597,3;22,9;620,2;76,0;696,3;44,9;89,1;3,7;85,8;622,0;18,0;640,0;65,5;705,5;37,8;90,7;2,8;88,2;633,1;15,9;649,0;63,3;712,3;31,2;91,1;2,4;88,9;648,3;16,5;664,8;63,9;728,6;31,3;91,2;2,5;89,0;668,6;22,6;691,1;70,9;762,0;41,7;90,7;3,3;87,7;707,7;20,0;727,7;68,1;795,7;38,0;91,4;2,8;88,9;741,8;19,6;761,4;62,2;823,6;33,3;92,4;2,6;90,1;755,3;23,2;778,5;60,8;839,3;35,7;92,8;3,0;90,0
50–54;451,4;37,7;489,1;161,6;650,7;64,9;75,2;7,7;69,4;450,1;45,2;495,4;155,0;650,4;76,4;76,2;9,1;69,2;453,8;48,3;502,0;147,0;649,0;84,6;77,4;9,6;69,9;458,4;48,2;506,6;121,9;628,5;84,6;80,6;9,5;72,9;449,6;39,5;489,1;117,4;606,5;77,5;80,6;8,1;74,1;458,1;28,5;486,6;105,2;591,8;60,7;82,2;5,8;77,4;468,8;28,6;497,5;85,4;582,9;52,3;85,3;5,8;80,4;477,5;22,6;500,0;80,3;580,4;41,9;86,2;4,5;82,3;495,2;19,1;514,3;76,8;591,2;34,3;87,0;3,7;83,8;525,5;16,3;541,7;73,3;615,0;29,9;88,1;3,0;85,4;551,6;13,3;564,9;76,2;641,0;27,3;88,1;2,4;86,0;575,2;16,6;591,8;73,1;664,9;37,2;89,0;2,8;86,5;596,5;18,8;615,3;68,4;683,7;33,7;90,0;3,1;87,2;610,7;19,8;630,5;65,9;696,4;30,0;90,5;3,1;87,7;615,0;20,8;635,8;64,0;699,7;29,5;90,9;3,3;87,9
55–59;347,9;26,7;374,6;352,1;726,7;49,2;51,5;7,1;47,9;381,5;35,9;417,4;329,0;746,5;62,7;55,9;8,6;51,1;407,1;45,0;452,1;313,7;765,9;79,1;59,0;10,0;53,2;422,7;41,0;463,7;303,9;767,5;80,1;60,4;8,8;55,1;432,6;39,7;472,3;277,5;749,8;78,2;63,0;8,4;57,7;450,4;28,8;479,2;233,0;712,2;59,3;67,3;6,0;63,2;443,6;23,9;467,5;199,8;667,3;49,9;70,1;5,1;66,5;440,8;17,3;458,1;171,2;629,4;35,4;72,8;3,8;70,0;428,4;13,4;441,8;157,7;599,5;28,0;73,7;3,0;71,5;428,5;10,5;438,9;139,0;577,9;23,8;76,0;2,4;74,1;421,4;9,8;431,2;134,4;565,6;23,3;76,2;2,3;74,5;420,4;13,5;434,0;124,1;558,1;26,6;77,8;3,1;75,3;437,9;14,2;452,1;103,8;555,9;26,5;81,3;3,1;78,8;454,3;12,8;467,1;101,9;569,0;22,7;82,1;2,7;79,8;490,5;14,0;504,5;91,7;596,2;22,0;84,6;2,8;82,3
