FEOR,Foglalkozás megnevezése,2019,2020,2021,2022,2023
0110,Fegyveres szervek felsõfokú képesítést igénylõ foglalkozásai,710552,781904,818967,1285835,1215101
0210,Fegyveres szervek középfokú képesítést igénylõ foglalkozásai,461689,504669,522580,789268,737019
0310,Fegyveres szervek középfokú képesítést nem igénylõ foglalkozásai,410228,387819,406396,606171,577521
1110,"Törvényhozó, miniszter, államtitkár",1255903,1387065,1579306,1832868,2111593
1121,"Országos és területi közigazgatás, igazságszolgáltatás vezetõje",1031185,1048942,1134817,1207586,1270697
1122,Helyi önkormányzat választott vezetõje,558776,514673,537395,757784,774317
1123,Helyi önkormányzat kinevezett vezetõje,698659,699186,733630,839926,943262
1131,Társadalmi (érdek-képviseleti) és egyéb szervezet vezetõje,842290,870936,916869,1002059,1159161
1210,"Gazdasági, költségvetési szervezet vezetõje (igazgató, elnök, ügyvezetõ igazgató)",683490,751990,822883,925718,1042695
1311,"Mezõgazdasági, erdészeti, halászati és vadászati tevékenységet folytató egység vezetõje",484513,541032,577923,654990,755385
1312,Ipari tevékenységet folytató egység vezetõje,807790,869250,942564,1070959,1223727
1313,Építõipari tevékenységet folytató egység vezetõje,471482,518184,568903,657892,756125
1321,"Szállítási, logisztikai és raktározási tevékenységet folytató egység vezetõje",671111,721340,779832,877208,1004363
1322,Informatikai és telekommunikációs tevékenységet folytató egység vezetõje,1033359,1107690,1207131,1403201,1628430
1323,Pénzintézeti tevékenységet folytató egység vezetõje,1193366,1229717,1298801,1513406,1872121
1324,Szociális tevékenységet folytató egység vezetõje,405762,460918,493261,574905,648749
1325,Gyermekgondozási tevékenységet folytató egység vezetõje,390656,439366,490961,558124,633437
1326,Idõsgondozási tevékenységet folytató egység vezetõje,389064,450318,477074,551362,631217
1327,Egészségügyi tevékenységet folytató egység vezetõje,753054,852893,1368570,1654757,1810900
1328,Oktatási-nevelési tevékenységet folytató egység vezetõje,541613,594130,652642,723439,802533
1329,Egyéb szolgáltatást nyújtó egység vezetõje,586388,645434,693320,794189,889282
1331,Szálláshely-szolgáltatási tevékenységet folytató egység vezetõje,514092,533462,566598,699161,841307
1332,Vendéglátó tevékenységet folytató egység vezetõje,335558,347299,380853,444414,528621
1333,Kereskedelmi tevékenységet folytató egység vezetõje,501789,543893,587575,670208,764188
1334,Üzleti szolgáltatási tevékenységet folytató egység vezetõje ,847466,933991,981255,1091597,1224679
1335,Kulturális tevékenységet folytató egység vezetõje,496717,534553,599687,709231,772773
1336,Sport- és rekreációs tevékenységet folytató egység vezetõje,443321,511840,558798,617639,691270
1339,"Egyéb kereskedelmi, vendéglátó és hasonló szolgáltatási tevékenységet folytató egység vezetõje",448077,477091,513611,572574,670468
1411,Számviteli és pénzügyi tevékenységet folytató egység vezetõje,978432,1043425,1110982,1268835,1427686
1412,"Személyzeti vezetõ, humánpolitikai egység vezetõje",1086110,1146711,1229663,1382215,1546602
1413,Kutatási és fejlesztési tevékenységet folytató egység vezetõje,1001971,1075211,1180152,1306010,1484161
1414,Vállalati stratégiatervezési egység vezetõje,1079899,1171983,1234458,1411387,1523369
1415,Értékesítési és marketingtevékenységet folytató egység vezetõje,953107,1036800,1085035,1214400,1392356
1416,"Reklám-, PR- és egyéb kommunikációs tevékenységet folytató egység vezetõje",810811,892076,952504,1082393,1203729
1419,Egyéb gazdasági tevékenységet segítõ egység vezetõje,874650,930661,999083,1119853,1260972
2111,Bányamérnök,491975,593658,653689,741653,866945
2112,Kohó- és anyagmérnök,637190,660492,721778,802438,910302
2113,Élelmiszer-ipari mérnök,499962,529617,569317,636541,721406
2114,Fa- és könnyûipari mérnök,480274,504050,554262,621989,706342
2115,Építészmérnök,444027,495743,544050,635245,723704
2116,Építõmérnök,567265,639661,698007,806577,927508
2117,Vegyészmérnök,611084,655263,706972,797115,905705
2118,Gépészmérnök,654924,694090,750888,851437,1002008
2121,Villamosmérnök (energetikai mérnök),677744,746722,802223,908017,1048629
2122,Villamosmérnök (elektronikai mérnök),688573,727332,803590,908370,1046771
2123,Telekommunikációs mérnök,824784,863106,943356,1036440,1106057
2131,Mezõgazdasági mérnök,481617,516972,555932,637280,709412
2132,Erdõ- és természetvédelmi mérnök,506506,526425,589852,682332,757183
2133,Táj- és kertépítészmérnök,374893,403496,443385,521527,587636
2134,Település- és közlekedéstervezõ mérnök,565475,621057,646804,720027,797926
2135,Földmérõ és térinformatikus,401150,435794,484336,550943,610184
2136,Grafikus és multimédia-tervezõ ,387409,460598,502904,594726,698785
2137,Minõségbiztosítási mérnök,671230,714103,761981,856984,987717
2139,"Egyéb, máshova nem sorolható mérnök",715764,762644,817743,936520,1067372
2141,Rendszerelemzõ (informatikai),721227,785596,854727,974361,1123537
2142,Szoftverfejlesztõ,722534,786475,864275,1016263,1189056
2143,Hálózat- és multimédia-fejlesztõ,668817,688318,712709,827652,980423
2144,Alkalmazásprogramozó,575076,617617,676232,781240,898175
2149,"Egyéb szoftver- és alkalmazásfejlesztõ, -elemzõ",745075,800917,862016,983571,1115140
2151,Adatbázis-tervezõ és -üzemeltetõ,598898,671884,740421,873303,1012192
2152,Rendszergazda,529660,567487,613449,681591,777792
2153,"Számítógép-hálózati elemzõ, üzemeltetõ",605118,649823,711683,823280,969639
2159,"Egyéb adatbázis- és hálózati elemzõ, üzemeltetõ ",641629,696456,761828,876671,1010052
2161,Fizikus,607374,678630,800142,917887,1044608
2163,Meteorológus,538207,519098,560505,645997,687499
2164,Kémikus,593701,645902,726386,804004,909645
2165,Geológus,686280,697145,718177,818763,863625
2166,Matematikus,668435,740939,851433,993160,1160063
2167,"Biológus, botanikus, zoológus és rokon foglalkozású",455180,509825,647328,751355,847796
2168,"Környezetfelmérõ, -tanácsadó",502461,545198,593536,660286,749073
2169,Egyéb természettudományi foglalkozású,557575,606462,675707,766739,854328
2211,Általános orvos,426341,494608,992681,1277828,1387064
2212,Szakorvos,785506,870293,1583508,2012676,2192881
2213,"Fogorvos, fogszakorvos",330632,374028,651197,824566,954902
2214,"Gyógyszerész, szakgyógyszerész",505580,557065,648620,744626,847185
2221,Környezet- és foglalkozás-egészségügyi foglalkozású,416269,542815,545406,596942,641361
2222,Optometrista,336377,364341,405612,487404,546591
2223,Dietetikus és táplálkozási tanácsadó,317182,387416,412812,481116,528144
2224,Gyógytornász ,297099,384203,413652,479359,518310
2225,Védõnõ ,381822,513834,534017,600208,654292
2226,Mentõtiszt,513680,633168,699792,835928,960417
2227,Hallás- és beszédterapeuta,343148,374793,467536,541639,638166
2228,Alternatív gyógymódot alkalmazó,781463,885084,874065,929955,1043574
2229,Egyéb humán-egészségügyi (társ)foglalkozású,669415,762451,792211,855185,944662
2231,Ápoló (felsõfokú képzettséghez kapcsolódó) ,432661,557615,634216,740265,809218
2232,Szülész(nõ) (felsõfokú képzettséghez kapcsolódó) ,373890,484998,528806,633937,702778
2241,Állatorvos,384909,410364,430628,495872,563293
2242,Növényorvos (növényvédelmi szakértõ),425318,460059,519816,602385,673797
2311,Szociálpolitikus,381048,402994,444201,522947,607338
2312,Szociális munkás és tanácsadó,312993,356740,371503,439967,495600
2410,"Egyetemi, fõiskolai oktató, tanár",544043,567395,626448,766921,823615
2421,Középiskolai tanár,379770,415350,454551,481614,550749
2422,"Középfokú nevelési-oktatási intézményi szakoktató, gyakorlati oktató",326176,397561,444201,458445,533717
2431,"Általános iskolai tanár, tanító",349157,368692,390939,432715,503998
2432,"Csecsemõ- és kisgyermeknevelõ, óvodapedagógus",308170,327542,353241,412086,485565
2441,Gyógypedagógus,330335,349816,374453,423259,492951
2442,Konduktor,313915,343774,361687,427260,484447
